id,order_id,item_id
1,1,25
2,1,40
3,1,19
4,1,2
5,1,41
6,1,39
7,1,12
8,2,2
9,2,27
10,2,2
11,2,24
12,2,12
13,2,24
14,3,26
15,4,48
16,4,18
17,4,16
18,4,49
19,4,4
20,4,21
21,4,37
22,5,37
23,5,6
24,5,24
25,5,34
26,6,13
27,7,17
28,8,41
29,8,6
30,8,44
31,8,9
32,8,18
33,8,16
34,8,21
35,8,43
36,8,20
37,9,39
38,9,39
39,10,3
40,10,24
41,10,45
42,10,23
43,11,11
44,11,50
45,11,42
46,11,43
47,12,46
48,12,4
49,12,21
50,12,39
51,12,18
52,12,2
53,12,48
54,13,13
55,13,26
56,13,1
57,13,46
58,14,18
59,14,30
60,15,5
61,15,41
62,15,45
63,15,7
64,15,44
65,15,39
66,15,11
67,15,48
68,16,30
69,16,7
70,16,11
71,16,8
72,16,1
73,16,8
74,16,49
75,16,47
76,16,46
77,17,33
78,17,2
79,17,26
80,18,7
81,18,49
82,18,35
83,18,10
84,18,28
85,18,7
86,19,49
87,19,26
88,19,9
89,19,41
90,19,47
91,19,49
92,19,22
93,19,19
94,20,37
95,20,21
96,21,46
97,21,31
98,21,13
99,21,15
100,21,42
101,21,19
102,21,20
103,22,8
104,22,31
105,22,18
106,22,29
107,22,44
108,23,3
109,24,11
110,24,2
111,24,2
112,24,41
113,25,10
114,25,13
115,25,8
116,25,31
117,25,50
118,25,26
119,25,28
120,26,19
121,26,30
122,26,9
123,26,50
124,26,20
125,26,1
126,26,9
127,26,38
128,26,10
129,26,36
130,27,41
131,27,28
132,27,23
133,27,45
134,27,40
135,27,35
136,27,1
137,27,37
138,27,21
139,28,36
140,29,27
141,29,3
142,29,24
143,29,50
144,29,1
145,29,15
146,30,23
147,30,35
148,30,11
149,30,3
150,30,5
151,30,31
152,30,8
153,31,36
154,31,35
155,31,17
156,31,20
157,31,36
158,31,49
159,31,40
160,31,19
161,31,47
162,31,19
163,32,1
164,32,43
165,32,11
166,32,40
167,32,26
168,33,39
169,33,47
170,34,46
171,34,35
172,34,29
173,34,8
174,35,23
175,36,9
176,36,21
177,36,4
178,36,40
179,36,7
180,36,29
181,36,31
182,36,46
183,36,19
184,37,17
185,37,34
186,37,43
187,37,29
188,37,12
189,38,28
190,38,1
191,38,30
192,39,48
193,39,39
194,39,39
195,39,50
196,39,50
197,39,44
198,39,37
199,39,30
200,39,40
201,39,44
202,40,36
203,40,5
204,40,41
205,40,10
206,41,5
207,41,38
208,42,45
209,43,41
210,43,30
211,43,19
212,44,27
213,44,24
214,44,2
215,44,42
216,44,47
217,44,8
218,44,10
219,44,37
220,45,38
221,45,37
222,45,48
223,45,24
224,45,14
225,45,29
226,45,40
227,45,39
228,46,40
229,46,5
230,46,40
231,46,42
232,47,48
233,47,35
234,47,1
235,47,21
236,47,27
237,48,42
238,48,4
239,49,31
240,50,26
241,51,25
242,51,33
243,52,35
244,52,46
245,52,43
246,53,40
247,53,37
248,53,6
249,53,42
250,53,7
251,54,17
252,54,9
253,54,19
254,54,8
255,54,49
256,54,39
257,55,37
258,55,28
259,55,22
260,55,19
261,55,33
262,55,17
263,55,37
264,55,10
265,55,35
266,56,32
267,56,3
268,56,44
269,56,3
270,56,7
271,56,13
272,56,33
273,56,4
274,56,32
275,57,43
276,57,27
277,58,27
278,58,26
279,58,22
280,58,50
281,58,6
282,58,31
283,58,7
284,58,33
285,58,24
286,58,41
287,59,17
288,59,6
289,60,4
290,60,21
291,60,41
292,61,16
293,62,10
294,62,16
295,62,16
296,62,15
297,62,48
298,63,12
299,63,37
300,63,40
301,63,19
302,64,43
303,65,36
304,65,7
305,65,11
306,65,10
307,66,46
308,66,8
309,66,48
310,66,22
311,66,18
312,66,16
313,66,35
314,66,19
315,67,23
316,67,32
317,67,28
318,67,10
319,67,35
320,67,12
321,67,26
322,67,11
323,68,47
324,68,9
325,68,29
326,68,27
327,68,45
328,68,18
329,68,39
330,68,16
331,68,27
332,68,50
333,69,2
334,69,47
335,70,10
336,71,11
337,71,29
338,71,12
339,71,33
340,71,11
341,72,43
342,72,8
343,72,23
344,72,11
345,72,14
346,73,41
347,73,40
348,73,18
349,73,21
350,73,46
351,73,47
352,73,27
353,73,32
354,73,39
355,73,38
356,74,27
357,74,15
358,74,31
359,74,19
360,74,1
361,74,48
362,75,28
363,76,37
364,76,2
365,76,1
366,76,19
367,76,48
368,77,6
369,77,21
370,77,2
371,77,46
372,77,19
373,77,5
374,78,34
375,78,16
376,78,7
377,78,9
378,78,31
379,78,18
380,78,31
381,78,36
382,78,5
383,79,3
384,79,31
385,79,49
386,79,29
387,79,23
388,80,44
389,81,42
390,81,47
391,81,8
392,82,47
393,82,17
394,82,50
395,82,4
396,82,37
397,82,27
398,82,37
399,82,2
400,83,29
401,83,45
402,83,29
403,83,6
404,83,43
405,84,13
406,84,44
407,84,2
408,84,20
409,84,21
410,84,29
411,84,27
412,84,17
413,84,49
414,84,25
415,85,45
416,85,20
417,85,39
418,85,42
419,85,2
420,85,28
421,85,6
422,86,14
423,86,40
424,86,19
425,86,5
426,86,19
427,86,28
428,86,31
429,86,32
430,87,33
431,87,39
432,88,3
433,88,15
434,88,2
435,88,35
436,88,28
437,88,22
438,88,23
439,88,45
440,88,12
441,88,11
442,89,40
443,89,6
444,89,36
445,89,37
446,89,48
447,89,45
448,89,10
449,89,45
450,90,44
451,90,28
452,90,14
453,90,46
454,90,19
455,91,22
456,91,12
457,91,41
458,91,28
459,91,1
460,91,14
461,91,46
462,91,34
463,92,39
464,92,28
465,92,20
466,92,13
467,93,3
468,93,33
469,93,23
470,93,18
471,93,31
472,93,38
473,93,43
474,93,9
475,93,12
476,93,28
477,94,24
478,94,30
479,94,46
480,94,33
481,95,39
482,95,15
483,95,24
484,95,48
485,95,28
486,95,39
487,95,47
488,96,39
489,96,17
490,96,32
491,96,17
492,96,46
493,96,6
494,97,27
495,97,48
496,97,12
497,97,26
498,97,26
499,97,45
500,97,8
501,98,15
502,98,7
503,98,48
504,99,27
505,99,21
506,99,13
507,99,33
